dtime,time,open,high,low,close,vwap,volume,count
2022-10-30 11:00:00,1667127600,0.9967,0.99687,0.99652,0.99668,0.99668,118688.49950414,221
2022-10-30 12:00:00,1667131200,0.9968,0.99683,0.99652,0.99669,0.9966,76844.03723376,186
2022-10-30 13:00:00,1667134800,0.99652,0.99669,0.99611,0.99643,0.99645,329143.1310929,585
2022-10-30 14:00:00,1667138400,0.99643,0.99732,0.99642,0.9968,0.99698,309970.79018935,465
2022-10-30 15:00:00,1667142000,0.99679,0.99718,0.99658,0.99709,0.99684,92206.7535777,300
2022-10-30 16:00:00,1667145600,0.997,0.99774,0.99642,0.99671,0.99708,294256.59489279,387
2022-10-30 17:00:00,1667149200,0.99706,0.9974,0.99691,0.99721,0.99716,202195.6804348,340
2022-10-30 18:00:00,1667152800,0.99721,0.99779,0.9967,0.9968,0.99696,970340.00168335,399
2022-10-30 19:00:00,1667156400,0.99687,0.99687,0.99636,0.9967,0.99651,323104.09704936,414
2022-10-30 20:00:00,1667160000,0.9965,0.99674,0.99612,0.99623,0.99629,176901.58673531,318
2022-10-30 21:00:00,1667163600,0.99617,0.99623,0.99552,0.99568,0.99576,407002.4664293,298
2022-10-30 22:00:00,1667167200,0.99571,0.9961,0.99484,0.99593,0.99532,126435.92993097,299
2022-10-30 23:00:00,1667170800,0.9958,0.99622,0.99554,0.99562,0.99592,65590.79461432,139
2022-10-31 00:00:00,1667174400,0.9957,0.99669,0.99554,0.99599,0.99614,276255.4702264,435
2022-10-31 01:00:00,1667178000,0.99599,0.99633,0.99437,0.99491,0.99509,702642.09204986,663
2022-10-31 02:00:00,1667181600,0.9948,0.99574,0.99458,0.99574,0.99496,242023.67522734,286
2022-10-31 03:00:00,1667185200,0.99556,0.99658,0.99535,0.99654,0.99583,51953.63882896,199
2022-10-31 04:00:00,1667188800,0.9965,0.99668,0.99597,0.996,0.99633,272727.68527056,309
2022-10-31 05:00:00,1667192400,0.99624,0.99625,0.99454,0.99477,0.99548,319326.77965696,405
2022-10-31 06:00:00,1667196000,0.99482,0.99539,0.99392,0.99539,0.99467,1124455.06238119,693
2022-10-31 07:00:00,1667199600,0.9954,0.99551,0.993,0.993,0.99413,442351.75787699,562
2022-10-31 08:00:00,1667203200,0.99313,0.99334,0.99164,0.99243,0.99222,906546.12641451,584
2022-10-31 09:00:00,1667206800,0.9924,0.9949,0.99237,0.9949,0.99352,1221863.46958921,857
2022-10-31 10:00:00,1667210400,0.9949,0.9949,0.99287,0.9934,0.99373,959723.00716926,570
2022-10-31 11:00:00,1667214000,0.99335,0.99408,0.99269,0.99394,0.99334,507585.1321867,696
2022-10-31 12:00:00,1667217600,0.99387,0.99387,0.99113,0.99133,0.99298,950208.73223059,749
2022-10-31 13:00:00,1667221200,0.99122,0.99174,0.98893,0.98908,0.99001,758303.92110704,707
2022-10-31 14:00:00,1667224800,0.98902,0.9908,0.98828,0.98889,0.98948,1283336.32798949,1085
2022-10-31 15:00:00,1667228400,0.98902,0.98953,0.98757,0.98854,0.98869,1053811.27934881,626
2022-10-31 16:00:00,1667232000,0.98849,0.98916,0.98779,0.98779,0.98876,516577.56375399,740
2022-10-31 17:00:00,1667235600,0.98786,0.98859,0.98744,0.98859,0.98807,814732.87641389,648
2022-10-31 18:00:00,1667239200,0.98859,0.98952,0.98815,0.98887,0.98874,116349.31777336,256
2022-10-31 19:00:00,1667242800,0.98892,0.98892,0.98781,0.98839,0.98812,37828.71904763,139
2022-10-31 20:00:00,1667246400,0.98825,0.98879,0.98824,0.9886,0.9885,126700.96694825,454
2022-10-31 21:00:00,1667250000,0.98858,0.989,0.9884,0.9884,0.98846,148867.00590966,377
2022-10-31 22:00:00,1667253600,0.98848,0.98895,0.98839,0.98841,0.98852,305150.67064053,781
2022-10-31 23:00:00,1667257200,0.98862,0.98875,0.98837,0.9886,0.9886,68384.95930998,216
2022-11-01 00:00:00,1667260800,0.98849,0.98895,0.98824,0.98842,0.98867,184056.466965,481
2022-11-01 01:00:00,1667264400,0.98857,0.98977,0.98848,0.98957,0.98917,53252.31816857,247
2022-11-01 02:00:00,1667268000,0.98955,0.99176,0.98927,0.99053,0.99077,472236.65927628,274
2022-11-01 03:00:00,1667271600,0.99047,0.99059,0.98957,0.99031,0.9902,131526.63897991,192
2022-11-01 04:00:00,1667275200,0.9901,0.99077,0.99004,0.99052,0.99046,280560.66704708,387
2022-11-01 05:00:00,1667278800,0.99051,0.99257,0.99047,0.99227,0.99108,108238.95691146,333
2022-11-01 06:00:00,1667282400,0.99232,0.99373,0.99217,0.99308,0.99306,440316.8293952,375
2022-11-01 07:00:00,1667286000,0.99305,0.9936,0.99135,0.99324,0.99243,462566.1849021,425
2022-11-01 08:00:00,1667289600,0.9933,0.99497,0.99227,0.99281,0.99362,471860.78296082,392
2022-11-01 09:00:00,1667293200,0.99261,0.99344,0.99161,0.99322,0.99266,795268.5323254,677
2022-11-01 10:00:00,1667296800,0.99322,0.99406,0.99232,0.99341,0.99311,531379.13705428,494
2022-11-01 11:00:00,1667300400,0.99354,0.99415,0.99256,0.99338,0.99338,816381.86368875,501
2022-11-01 12:00:00,1667304000,0.99356,0.99462,0.99336,0.99387,0.99406,886117.50383472,719
2022-11-01 13:00:00,1667307600,0.99389,0.99497,0.9926,0.99331,0.99355,1135629.83136905,689
2022-11-01 14:00:00,1667311200,0.99338,0.99356,0.98589,0.98646,0.99005,1506035.97234026,883
2022-11-01 15:00:00,1667314800,0.98662,0.98816,0.986,0.98682,0.98674,812790.22476311,574
2022-11-01 16:00:00,1667318400,0.9868,0.99013,0.98517,0.98601,0.98731,1149562.30588181,1035
